fname		mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	bass_name
n01op18-1_01	167	136	136	1/4	1/4	3/4	1	1	@none	F	ii		@none		@none						m	False	True	()	()			
n01op18-1_01	168	137	137	0	0	3/4	1	1	#viio7	F	ii		#viio7		#vii	o	7				o7	False	True	(5, 2, -1, -4)	()	5	5	F#
n01op18-1_01	169	137	137	1/4	1/4	3/4	1	1	VI6	F	ii		VI6		VI		6				M	False	True	(0, -3, -4)	()	-4	0	G
n01op18-1_01	170	137	137	1/2	1/2	3/4	1	1	V65/ii	F	ii		V65/ii		V		65		ii		Mm7	False	True	(7, 4, 1, 3)	()	3	7	G#
n01op18-1_01	171	138	138	0	0	3/4	1	1	#viio65	F	ii		#viio65		#vii	o	65				o7	False	True	(2, -1, -4, 5)	()	5	2	A
n01op18-1_01	172	138	138	1/2	1/2	3/4	1	1	i6	F	ii		i6		i		6				m	False	True	(-3, 1, 0)	()	0	-3	Bb
n01op18-1_01	181	143	143	0	0	3/4	1	1	#viio7	F	v		#viio7		#vii	o	7				o7	False	True	(5, 2, -1, -4)	()	5	5	B
n01op18-1_01	182	143	143	1/4	1/4	3/4	1	1	VI6	F	v		VI6		VI		6				M	False	True	(0, -3, -4)	()	-4	0	C
n01op18-1_01	183	143	143	1/2	1/2	3/4	1	1	#viio/ii	F	v		#viio/ii		#vii	o			ii		o	False	True	(7, 4, 1)	()	7	7	C#
n01op18-1_01	184	144	144	0	0	3/4	1	1	V43	F	v		V43		V		43				Mm7	False	True	(2, -1, 1, 5)	()	1	2	D
n01op18-1_02	48	19	19	0	0	9/8	1	1	V7(4)/bVII	d	III		V7(4)/bVII		V		7	4	bVII		Mm7	True	False	(-1, -2, 0, -3)	()	-1	-1	Bb
n01op18-1_02	49	19	19	3/8	3/8	9/8	1	1	V7/bVII	d	III		V7/bVII		V		7		bVII		Mm7	True	False	(-1, 3, 0, -3)	()	-1	-1	Bb
