fname		mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	bass_name
n01op18-1_02	50	19	19	3/4	3/4	9/8	1	1	#viio7/V	d	III		#viio7/V		#vii	o	7		V		o7	True	False	(6, 3, 0, -3)	()	6	6	B
n01op18-1_02	51	20	20	0	0	9/8	1	1	V\\	d	III		V		V					\\	M	True	False	(1, 5, 2)	()	1	1	C
n01op18-1_02	52	21	21	0	0	9/8	1	1	iv6	d	III		iv6		iv		6				m	True	False	(-4, 0, -1)	()	-1	-4	Db
n01op18-1_02	53	21	21	7/8	7/8	9/8	1	1	.Ger6	d	III		Ger6	Ger	vii	o	65	b3	V		Ger	True	False	(-4, 0, -3, 6)	()	6	-4	Db
n01op18-1_04	13	7	7	1/8	1/8	2/4	1	1	V65	F	I		V65		V		65				Mm7	False	False	(5, 2, -1, 1)	()	1	5	E
n01op18-1_04	14	7	7	1/4	1/4	2/4	1	1	V.IV	F	V		IV		IV						M	False	False	(-1, 3, 0)	()	-1	-1	F
n01op18-1_04	15	7	7	3/8	3/8	2/4	1	1	V65/V	F	V		V65/V		V		65		V		Mm7	False	False	(6, 3, 0, 2)	()	2	6	F#
n01op18-1_04	16	8	8	0	0	2/4	1	1	V(64)	F	V		V(64)		V			64			M	False	False	(1, 0, 4)	()	1	1	G
n01op18-1_04	17	8	8	1/8	1/8	2/4	1	1	V7	F	V		V7		V		7				Mm7	False	False	(1, 5, 2, -1)	()	1	1	G
n01op18-1_04	32	15	15	1/8	1/8	2/4	1	1	V65	F	I		V65		V		65				Mm7	False	False	(5, 2, -1, 1)	()	1	5	E
n01op18-1_04	33	15	15	1/4	1/4	2/4	1	1	I	F	I		I		I						M	False	False	(0, 4, 1)	()	0	0	F
n01op18-1_04	34	15	15	3/8	3/8	2/4	1	1	#viio7/ii	F	I		#viio7/ii		#vii	o	7		ii		o7	False	False	(7, 4, 1, -2)	()	7	7	F#
n01op18-1_04	35	16	16	0	0	2/4	1	1	ii	F	I		ii		ii						m	False	False	(2, -1, 3)	()	2	2	G
n01op18-1_04	168	97	97	1/8	1/8	2/4	1	1	V65	F	I		V65		V		65				Mm7	False	False	(5, 2, -1, 1)	()	1	5	E
n01op18-1_04	169	97	97	1/4	1/4	2/4	1	1	V.IV	F	V		IV		IV						M	False	False	(-1, 3, 0)	()	-1	-1	F
n01op18-1_04	170	97	97	3/8	3/8	2/4	1	1	V65/V	F	V		V65/V		V		65		V		Mm7	False	False	(6, 3, 0, 2)	()	2	6	F#
n01op18-1_04	171	98	98	0	0	2/4	1	1	V(64)	F	V		V(64)		V			64			M	False	False	(1, 0, 4)	()	1	1	G
n01op18-1_04	172	98	98	1/8	1/8	2/4	1	1	V7	F	V		V7		V		7				Mm7	False	False	(1, 5, 2, -1)	()	1	1	G
n01op18-1_04	371	241	241	0	0	2/4	1	1	V.I6	F	V		I6		I		6				M	False	False	(4, 1, 0)	()	0	4	E
n01op18-1_04	372	241	241	1/4	1/4	2/4	1	1	IV	F	V		IV		IV						M	False	False	(-1, 3, 0)	()	-1	-1	F
n01op18-1_04	373	241	241	3/8	3/8	2/4	1	1	V65/V	F	V		V65/V		V		65		V		Mm7	False	False	(6, 3, 0, 2)	()	2	6	F#
n01op18-1_04	374	242	242	0	0	2/4	1	1	V(64)	F	V		V(64)		V			64			M	False	False	(1, 0, 4)	()	1	1	G
n01op18-1_04	375	242	242	1/8	1/8	2/4	1	1	V7	F	V		V7		V		7				Mm7	False	False	(1, 5, 2, -1)	()	1	1	G
n01op18-1_04	389	249	249	1/8	1/8	2/4	1	1	V65	F	I		V65		V		65				Mm7	False	False	(5, 2, -1, 1)	()	1	5	E
n01op18-1_04	390	249	249	1/4	1/4	2/4	1	1	I	F	I		I		I						M	False	False	(0, 4, 1)	()	0	0	F
n01op18-1_04	391	249	249	3/8	3/8	2/4	1	1	#viio7/ii	F	I		#viio7/ii		#vii	o	7		ii		o7	False	False	(7, 4, 1, -2)	()	7	7	F#
n01op18-1_04	392	250	250	0	0	2/4	1	1	ii	F	I		ii		ii						m	False	False	(2, -1, 3)	()	2	2	G
n01op18-1_04	572	372	372	1/8	1/8	2/4	1	1	I6	F	I		I6		I		6				M	False	False	(4, 1, 0)	()	0	4	A
n01op18-1_04	573	372	372	1/4	1/4	2/4	1	1	ii65	F	I		ii65		ii		65				mm7	False	False	(-1, 3, 0, 2)	()	2	-1	Bb
n01op18-1_04	574	372	372	3/8	3/8	2/4	1	1	#viio/V	F	I		#viio/V		#vii	o			V		o	False	False	(6, 3, 0)	()	6	6	B
n01op18-1_04	575	373	373	0	0	2/4	1	1	V(64)	F	I		V(64)		V			64			M	False	False	(1, 0, 4)	()	1	1	C
n01op18-1_04	576	373	373	1/4	1/4	2/4	1	1	V7	F	I		V7		V		7				Mm7	False	False	(1, 5, 2, -1)	()	1	1	C
n02op18-2_01	152	73	73	7/16	7/16	2/4	1	1	#vii%7/V	G	V		#vii%7/V		#vii	%	7		V		%7	False	False	(6, 3, 0, 4)	()	6	6	G#
n02op18-2_01	153	74	74	0	0	2/4	1	1	V(64)	G	V		V(64)		V			64			M	False	False	(1, 0, 4)	()	1	1	A
n02op18-2_01	154	74	74	3/16	3/16	2/4	1	1	V6/vi	G	V		V6/vi		V		6		vi		M	False	False	(8, 5, 4)	()	4	8	A#
n02op18-2_01	155	74	74	5/16	5/16	2/4	1	1	vi	G	V		vi		vi						m	False	False	(3, 0, 4)	()	3	3	B
n02op18-2_02	24	13	12	1/4	1/4	3/4	1	1	I6	C	V		I6		I		6				M	False	False	(4, 1, 0)	()	0	4	B
n02op18-2_02	25	14	13	0	0	3/4	1	1	IV	C	V		IV		IV						M	False	False	(-1, 3, 0)	()	-1	-1	C
n02op18-2_02	26	14	13	1/8	1/8	3/4	1	1	ii6	C	V		ii6		ii		6				m	False	False	(-1, 3, 2)	()	2	-1	C
n02op18-2_02	27	14	13	3/16	3/16	3/4	1	1	#viio7/V	C	V		#viio7/V		#vii	o	7		V		o7	False	False	(6, 3, 0, -3)	()	6	6	C#
n02op18-2_02	28	14	13	1/4	1/4	3/4	1	1	V(64+2)	C	V		V(64+2)		V			64+2			M	False	False	(1, 0, 4)	(3,)	1	1	D
n02op18-2_02	29	14	13	1/2	1/2	3/4	1	1	V7(4)	C	V		V7(4)		V		7	4			Mm7	False	False	(1, 0, 2, -1)	()	1	1	D
n02op18-2_02	30	14	13	23/32	23/32	3/4	1	1	V7	C	V		V7		V		7				Mm7	False	False	(1, 5, 2, -1)	()	1	1	D
n02op18-2_03	49	34	33	5/8	5/8	3/4	1	1	I+6	G	I		I+6		I	+	6				+	False	False	(4, 8, 0)	()	0	4	B
n02op18-2_03	50	35	34	0	0	3/4	1	1	IV	G	I		IV		IV						M	False	False	(-1, 3, 0)	()	-1	-1	C
n02op18-2_03	51	35	34	1/8	1/8	3/4	1	1	V65/V	G	I		V65/V		V		65		V		Mm7	False	False	(6, 3, 0, 2)	()	2	6	C#
n02op18-2_03	52	35	34	1/4	1/4	3/4	1	1	V(64)	G	I		V(64)		V			64			M	False	False	(1, 0, 4)	()	1	1	D
n02op18-2_03	59	38	37	0	0	3/4	1	1	I6	G	I		I6		I		6				M	False	False	(4, 1, 0)	()	0	4	B
n02op18-2_03	60	38	37	3/8	3/8	3/4	1	1	I+6	G	I		I+6		I	+	6				+	False	False	(4, 8, 0)	()	0	4	B
n02op18-2_03	61	38	37	1/2	1/2	3/4	1	1	IV	G	I		IV		IV						M	False	False	(-1, 3, 0)	()	-1	-1	C
n02op18-2_03	62	38	37	5/8	5/8	3/4	1	1	V65/V	G	I		V65/V		V		65		V		Mm7	False	False	(6, 3, 0, 2)	()	2	6	C#
n02op18-2_03	63	39	38	0	0	3/4	1	1	V(64)	G	I		V(64)		V			64			M	False	False	(1, 0, 4)	()	1	1	D
n02op18-2_03	64	39	38	1/8	1/8	3/4	1	1	#viio7/vi	G	I		#viio7/vi		#vii	o	7		vi		o7	False	False	(8, 5, 2, -1)	()	8	8	D#
n02op18-2_03	65	39	38	1/4	1/4	3/4	1	1	vi	G	I		vi		vi						m	False	False	(3, 0, 4)	()	3	3	E
n02op18-2_04	96	83	83	1/4	1/4	2/4	1	1	viio64	G	V		viio64		vii	o	64				o	False	False	(-1, 5, 2)	()	5	-1	G
n02op18-2_04	97	84	84	0	0	2/4	1	1	#viio7/V	G	V		#viio7/V		#vii	o	7		V		o7	False	False	(6, 3, 0, -3)	()	6	6	G#
n02op18-2_04	98	86	86	0	0	2/4	1	1	V(64)	G	V		V(64)		V			64			M	False	False	(1, 0, 4)	()	1	1	A
n02op18-2_04	99	87	87	0	0	2/4	1	1	V7	G	V		V7		V		7				Mm7	False	False	(1, 5, 2, -1)	()	1	1	A
n02op18-2_04	100	89	89	0	0	2/4	1	1	viio2	G	V		viio2		vii	o	2				o7	False	False	(-4, 5, 2, -1)	()	5	-4	Bb
n02op18-2_04	108	94	94	0	0	2/4	1	1	V7	G	V		V7		V		7				Mm7	False	False	(1, 5, 2, -1)	()	1	1	A
n02op18-2_04	109	94	94	1/4	1/4	2/4	1	1	viio2	G	V		viio2		vii	o	2				o7	False	False	(-4, 5, 2, -1)	()	5	-4	Bb
n02op18-2_04	110	95	95	0	0	2/4	1	1	#viio7/bVII	G	V		#viio7/bVII		#vii	o	7		bVII		o7	False	False	(3, 0, -3, -6)	()	3	3	B
n02op18-2_04	111	96	96	0	0	2/4	1	1	.bVII.V7	G	bVII		V7		V		7				Mm7	False	False	(1, 5, 2, -1)	()	1	1	C
n02op18-2_04	112	97	97	0	0	2/4	1	1	V(64)	G	bVII		V(64)		V			64			M	False	False	(1, 0, 4)	()	1	1	C
n02op18-2_04	113	98	98	0	0	2/4	1	1	V7	G	bVII		V7		V		7				Mm7	False	False	(1, 5, 2, -1)	()	1	1	C
n02op18-2_04	114	99	99	0	0	2/4	1	1	V(64)	G	bVII		V(64)		V			64			M	False	False	(1, 0, 4)	()	1	1	C
n02op18-2_04	115	100	100	0	0	2/4	1	1	V7	G	bVII		V7		V		7				Mm7	False	False	(1, 5, 2, -1)	()	1	1	C
n02op18-2_04	116	101	101	0	0	2/4	1	1	V(64)	G	bVII		V(64)		V			64			M	False	False	(1, 0, 4)	()	1	1	C
n02op18-2_04	117	102	102	0	0	2/4	1	1	V7	G	bVII		V7		V		7				Mm7	False	False	(1, 5, 2, -1)	()	1	1	C
n02op18-2_04	166	148	148	0	0	2/4	1	1	V65	G	bVI		V65		V		65				Mm7	False	False	(5, 2, -1, 1)	()	1	5	D
n02op18-2_04	167	149	149	0	0	2/4	1	1	I	G	bVI		I		I						M	False	False	(0, 4, 1)	()	0	0	Eb
n02op18-2_04	168	149	149	1/8	1/8	2/4	1	1	V65/ii	G	bVI		V65/ii		V		65		ii		Mm7	False	False	(7, 4, 1, 3)	()	3	7	E
n02op18-2_04	169	149	149	1/4	1/4	2/4	1	1	ii	G	bVI		ii		ii						m	False	False	(2, -1, 3)	()	2	2	F
n03op18-3_01	117	85	85	0	0	2/2	1	1	#viio65/ii	D	V		#viio65/ii		#vii	o	65		ii		o7	False	False	(4, 1, -2, 7)	()	7	4	C#
n03op18-3_01	118	86	86	0	0	2/2	1	1	ii6	D	V		ii6		ii		6				m	False	False	(-1, 3, 2)	()	2	-1	D
n03op18-3_01	119	87	87	0	0	2/2	1	1	#viio7/V	D	V		#viio7/V		#vii	o	7		V		o7	False	False	(6, 3, 0, -3)	()	6	6	D#
n03op18-3_01	120	88	88	0	0	2/2	1	1	V(64)	D	V		V(64)		V			64			M	False	False	(1, 0, 4)	()	1	1	E
n03op18-3_01	121	89	89	0	0	2/2	1	1	V7	D	V		V7		V		7				Mm7	False	False	(1, 5, 2, -1)	()	1	1	E
n03op18-3_01	244	166	166	0	0	2/2	1	1	V(64)	D	I		V(64)		V			64			M	False	False	(1, 0, 4)	()	1	1	A
n03op18-3_01	245	167	167	0	0	2/2	1	1	V7	D	I		V7		V		7				Mm7	False	False	(1, 5, 2, -1)	()	1	1	A
n03op18-3_01	246	168	168	0	0	2/2	1	1	#viio7/vi	D	I		#viio7/vi		#vii	o	7		vi		o7	False	False	(8, 5, 2, -1)	()	8	8	A#
n03op18-3_01	247	169	169	0	0	2/2	1	1	vi\\	D	I		vi		vi					\\	m	False	False	(3, 0, 4)	()	3	3	B
n03op18-3_01	248	170	170	0	0	2/2	1	1	V2/IV	D	I		V2/IV		V		2		IV		Mm7	False	False	(-2, 0, 4, 1)	()	0	-2	C
n03op18-3_01	252	174	174	0	0	2/2	1	1	IV6	D	I		IV6		IV		6				M	False	False	(3, 0, -1)	()	-1	3	B
n03op18-3_01	253	175	175	0	0	2/2	1	1	#viio65/V	D	I		#viio65/V		#vii	o	65		V		o7	False	False	(3, 0, -3, 6)	()	6	3	B
n03op18-3_01	254	176	176	0	0	2/2	1	1	v6	D	I		v6		v		6				m	False	False	(-2, 2, 1)	()	1	-2	C
n03op18-3_01	255	177	177	0	0	2/2	1	1	V65	D	I		V65		V		65				Mm7	False	False	(5, 2, -1, 1)	()	1	5	C#
n03op18-3_01	256	178	178	0	0	2/2	1	1	vi6	D	I		vi6		vi		6				m	False	False	(0, 4, 3)	()	3	0	D
n03op18-3_01	257	179	179	0	0	2/2	1	1	#viio7/ii	D	I		#viio7/ii		#vii	o	7		ii		o7	False	False	(7, 4, 1, -2)	()	7	7	D#
n03op18-3_01	258	180	180	0	0	2/2	1	1	viio65	D	I		viio65		vii	o	65				o7	False	False	(2, -1, -4, 5)	()	5	2	E
n03op18-3_01	260	181	181	1/8	1/8	2/2	1	1	I6	D	I		I6		I		6				M	False	False	(4, 1, 0)	()	0	4	F#
n03op18-3_01	261	182	182	0	0	2/2	1	1	ii%65	D	I		ii%65		ii	%	65				%7	False	False	(-1, -4, 0, 2)	()	2	-1	G
n03op18-3_01	262	183	183	0	0	2/2	1	1	#viio7/V	D	I		#viio7/V		#vii	o	7		V		o7	False	False	(6, 3, 0, -3)	()	6	6	G#
n03op18-3_01	263	184	184	0	0	2/2	1	1	V\\	D	I		V		V					\\	M	False	False	(1, 5, 2)	()	1	1	A
n03op18-3_01	264	184	184	1/2	1/2	2/2	1	1	V	D	I		V		V						M	False	False	(1, 5, 2)	()	1	1	A
n03op18-3_01	265	187	187	0	0	2/2	1	1	V7	D	I		V7		V		7				Mm7	False	False	(1, 5, 2, -1)	()	1	1	A
n03op18-3_01	299	217	217	0	0	2/2	1	1	#viio65/ii	D	I		#viio65/ii		#vii	o	65		ii		o7	False	False	(4, 1, -2, 7)	()	7	4	F#
n03op18-3_01	300	219	219	0	0	2/2	1	1	ii6	D	I		ii6		ii		6				m	False	False	(-1, 3, 2)	()	2	-1	G
n03op18-3_01	301	220	220	0	0	2/2	1	1	#viio7/V	D	I		#viio7/V		#vii	o	7		V		o7	False	False	(6, 3, 0, -3)	()	6	6	G#
n03op18-3_01	302	221	221	0	0	2/2	1	1	V(64)	D	I		V(64)		V			64			M	False	False	(1, 0, 4)	()	1	1	A
n03op18-3_01	303	222	222	0	0	2/2	1	1	V7	D	I		V7		V		7				Mm7	False	False	(1, 5, 2, -1)	()	1	1	A
n03op18-3_01	338	237	237	0	0	2/2	1	1	I	D	I		I		I						M	False	False	(0, 4, 1)	()	0	0	D
n03op18-3_01	339	238	238	0	0	2/2	1	1	.bIII.v6	D	bIII		v6		v		6				m	False	False	(-2, 2, 1)	()	1	-2	Eb
n03op18-3_01	340	239	239	0	0	2/2	1	1	V6	D	bIII		V6		V		6				M	False	False	(5, 2, 1)	()	1	5	E
n03op18-3_01	341	240	240	0	0	2/2	1	1	I	D	bIII		I		I						M	False	False	(0, 4, 1)	()	0	0	F
n03op18-3_01	342	241	241	0	0	2/2	1	1	iv.V65	D	iv		V65		V		65				Mm7	False	True	(5, 2, -1, 1)	()	1	5	F#
n03op18-3_01	343	243	243	0	0	2/2	1	1	i	D	iv		i		i						m	False	True	(0, -3, 1)	()	0	0	G
n03op18-3_02	85	31	31	1/4	1/4	2/4	1	1	V65/III	Bb	v		V65/III		V		65		III		Mm7	False	True	(2, -1, -4, -2)	()	-2	2	G
n03op18-3_02	86	32	32	1/4	1/4	2/4	1	1	III	Bb	v		III		III						M	False	True	(-3, 1, -2)	()	-3	-3	Ab
n03op18-3_02	87	32	32	3/8	3/8	2/4	1	1	V65/iv	Bb	v		V65/iv		V		65		iv		Mm7	False	True	(4, 1, -2, 0)	()	0	4	A
n03op18-3_02	88	33	33	0	0	2/4	1	1	iv	Bb	v		iv		iv						m	False	True	(-1, -4, 0)	()	-1	-1	Bb
n03op18-3_02	89	33	33	1/8	1/8	2/4	1	1	.bII6	Bb	v		bII6		bII		6				M	False	True	(-1, -4, -5)	()	-5	-1	Bb
n03op18-3_02	90	33	33	3/8	3/8	2/4	1	1	iv7	Bb	v		iv7		iv		7				mm7	False	True	(-1, -4, 0, -3)	()	-1	-1	Bb
n03op18-3_02	91	34	34	0	0	2/4	1	1	#viio43	Bb	v		#viio43		#vii	o	43				o7	False	True	(-1, -4, 5, 2)	()	5	-1	Bb
n03op18-3_02	92	36	36	0	0	2/4	1	1	#viio7/V	Bb	v		#viio7/V		#vii	o	7		V		o7	False	True	(6, 3, 0, -3)	()	6	6	B
n03op18-3_02	93	36	36	1/4	1/4	2/4	1	1	V.V(64)	Bb	V		V(64)		V			64			M	False	False	(1, 0, 4)	()	1	1	C
n03op18-3_02	94	36	36	3/8	3/8	2/4	1	1	V7	Bb	V		V7		V		7				Mm7	False	False	(1, 5, 2, -1)	()	1	1	C
n03op18-3_02	282	105	105	0	0	2/4	1	1	V65/bIII	Bb	I		V65/bIII		V		65		bIII		Mm7	False	False	(2, -1, -4, -2)	()	-2	2	C
n03op18-3_02	283	105	105	1/4	1/4	2/4	1	1	.bIII	Bb	I		bIII		bIII						M	False	False	(-3, 1, -2)	()	-3	-3	Db
n03op18-3_02	284	105	105	3/8	3/8	2/4	1	1	V6/iv	Bb	I		V6/iv		V		6		iv		M	False	False	(4, 1, 0)	()	0	4	D
n03op18-3_02	285	106	106	0	0	2/4	1	1	iv	Bb	I		iv		iv						m	False	False	(-1, -4, 0)	()	-1	-1	Eb
n03op18-3_02	286	106	106	1/8	1/8	2/4	1	1	iv(6)	Bb	I		iv(6)		iv			6			m	False	False	(-1, -4, 2)	()	-1	-1	Eb
n03op18-3_02	287	106	106	3/8	3/8	2/4	1	1	iv	Bb	I		iv		iv						m	False	False	(-1, -4, 0)	()	-1	-1	Eb
n03op18-3_02	288	107	107	0	0	2/4	1	1	viio43	Bb	I		viio43		vii	o	43				o7	False	False	(-1, -4, 5, 2)	()	5	-1	Eb
n03op18-3_02	289	109	109	0	0	2/4	1	1	#viio7/V	Bb	I		#viio7/V		#vii	o	7		V		o7	False	False	(6, 3, 0, -3)	()	6	6	E
n03op18-3_02	290	109	109	1/4	1/4	2/4	1	1	V(64)	Bb	I		V(64)		V			64			M	False	False	(1, 0, 4)	()	1	1	F
n03op18-3_02	291	109	109	3/8	3/8	2/4	1	1	V7	Bb	I		V7		V		7				Mm7	False	False	(1, 5, 2, -1)	()	1	1	F
n03op18-3_02	292	110	110	0	0	2/4	1	1	I64	Bb	I		I64		I		64				M	False	False	(1, 0, 4)	()	0	1	F
n03op18-3_03	44	21	21	1/2	1/2	3/4	1	1	ii7	D	I		ii7		ii		7				mm7	False	False	(2, -1, 3, 0)	()	2	2	E
n03op18-3_03	45	22	22	0	0	3/4	1	1	#viio7/iii	D	I		#viio7/iii		#vii	o	7		iii		o7	False	False	(9, 6, 3, 0)	()	9	9	E#
n03op18-3_03	46	23	23	0	0	3/4	1	1	I6(#4)	D	I		I6(#4)		I		6	#4			M	False	False	(4, 6, 0)	()	0	4	F#
n03op18-3_03	47	24	24	0	0	3/4	1	1	I6	D	I		I6		I		6				M	False	False	(4, 1, 0)	()	0	4	F#
n03op18-3_03	48	24	24	1/2	1/2	3/4	1	1	I+6	D	I		I+6		I	+	6				+	False	False	(4, 8, 0)	()	0	4	F#
n03op18-3_03	49	26	26	0	0	3/4	1	1	IV	D	I		IV		IV						M	False	False	(-1, 3, 0)	()	-1	-1	G
n03op18-3_03	50	27	27	0	0	3/4	1	1	.Ger6/vi	D	I		Ger6/vi	Ger	vii	o	65	b3	V/vi		Ger	False	False	(-1, 3, 0, 9)	()	9	-1	G
n03op18-3_03	61	37	37	0	0	3/4	1	1	V6	D	I		V6		V		6				M	False	False	(5, 2, 1)	()	1	5	C#
n03op18-3_03	62	38	38	1/2	1/2	3/4	1	1	V65	D	I		V65		V		65				Mm7	False	False	(5, 2, -1, 1)	()	1	5	C#
n03op18-3_03	63	39	39	0	0	3/4	1	1	I(4)	D	I		I(4)		I			4			M	False	False	(0, -1, 1)	()	0	0	D
n03op18-3_03	64	39	39	1/4	1/4	3/4	1	1	I	D	I		I		I						M	False	False	(0, 4, 1)	()	0	0	D
n03op18-3_03	65	40	40	0	0	3/4	1	1	I	D	I		I		I						M	False	False	(0, 4, 1)	()	0	0	D
n03op18-3_03	66	40	40	1/2	1/2	3/4	1	1	V7/IV	D	I		V7/IV		V		7		IV		Mm7	False	False	(0, 4, 1, -2)	()	0	0	D
n03op18-3_03	67	41	41	0	0	3/4	1	1	V6(2)/ii	D	I		V6(2)/ii		V		6	2	ii		M	False	False	(7, 4, -2)	()	3	7	D#
n03op18-3_03	68	41	41	1/4	1/4	3/4	1	1	V6/ii	D	I		V6/ii		V		6		ii		M	False	False	(7, 4, 3)	()	3	7	D#
n03op18-3_03	69	43	43	0	0	3/4	1	1	ii	D	I		ii		ii						m	False	False	(2, -1, 3)	()	2	2	E
n03op18-3_03	70	43	43	1/2	1/2	3/4	1	1	viio65/ii	D	I		viio65/ii		vii	o	65		ii		o7	False	False	(-3, -6, -9, 0)	()	0	-3	F
n03op18-3_03	85	50	50	0	0	3/4	1	1	V65/V	D	I		V65/V		V		65		V		Mm7	False	False	(6, 3, 0, 2)	()	2	6	G#
n03op18-3_03	86	51	51	0	0	3/4	1	1	V[I64	D	I	V	I64		I		64				M	False	False	(1, 0, 4)	()	0	1	A
n03op18-3_03	87	52	52	0	0	3/4	1	1	V7	D	I	V	V7		V		7				Mm7	False	False	(1, 5, 2, -1)	()	1	1	A
n03op18-3_03	88	52	52	1/4	1/4	3/4	1	1	I64]	D	I	V	I64		I		64				M	False	False	(1, 0, 4)	()	0	1	A
n03op18-3_03	89	52	52	1/2	1/2	3/4	1	1	#viio/vi	D	I		#viio/vi		#vii	o			vi		o	False	False	(8, 5, 2)	()	8	8	A#
n03op18-3_03	90	53	53	0	0	3/4	1	1	vi	D	I		vi		vi						m	False	False	(3, 0, 4)	()	3	3	B
n03op18-3_03	228	145	145	0	0	3/4	1	1	V6	D	I		V6		V		6				M	False	False	(5, 2, 1)	()	1	5	C#
n03op18-3_03	229	146	146	1/2	1/2	3/4	1	1	V65	D	I		V65		V		65				Mm7	False	False	(5, 2, -1, 1)	()	1	5	C#
n03op18-3_03	230	147	147	0	0	3/4	1	1	I(4)	D	I		I(4)		I			4			M	False	False	(0, -1, 1)	()	0	0	D
n03op18-3_03	231	147	147	1/4	1/4	3/4	1	1	I	D	I		I		I						M	False	False	(0, 4, 1)	()	0	0	D
n03op18-3_03	232	148	148	0	0	3/4	1	1	I	D	I		I		I						M	False	False	(0, 4, 1)	()	0	0	D
n03op18-3_03	233	148	148	1/2	1/2	3/4	1	1	V7/IV	D	I		V7/IV		V		7		IV		Mm7	False	False	(0, 4, 1, -2)	()	0	0	D
n03op18-3_03	234	149	149	0	0	3/4	1	1	V6(2)/ii	D	I		V6(2)/ii		V		6	2	ii		M	False	False	(7, 4, -2)	()	3	7	D#
n03op18-3_03	235	149	149	1/4	1/4	3/4	1	1	V6/ii	D	I		V6/ii		V		6		ii		M	False	False	(7, 4, 3)	()	3	7	D#
n03op18-3_03	236	151	151	0	0	3/4	1	1	ii	D	I		ii		ii						m	False	False	(2, -1, 3)	()	2	2	E
n03op18-3_03	237	151	151	1/2	1/2	3/4	1	1	#viio65/ii	D	I		#viio65/ii		#vii	o	65		ii		o7	False	False	(4, 1, -2, 7)	()	7	4	F#
n03op18-3_03	238	152	152	0	0	3/4	1	1	ii6	D	I		ii6		ii		6				m	False	False	(-1, 3, 2)	()	2	-1	G
n03op18-3_03	239	152	152	1/2	1/2	3/4	1	1	#viio7/V	D	I		#viio7/V		#vii	o	7		V		o7	False	False	(6, 3, 0, -3)	()	6	6	G#
n03op18-3_03	240	153	153	0	0	3/4	1	1	V[V	D	I	V	V		V						M	False	False	(1, 5, 2)	()	1	1	A
n03op18-3_03	241	153	153	1/4	1/4	3/4	1	1	I64	D	I	V	I64		I		64				M	False	False	(1, 0, 4)	()	0	1	A
n03op18-3_03	252	158	158	0	0	3/4	1	1	V65/V	D	I		V65/V		V		65		V		Mm7	False	False	(6, 3, 0, 2)	()	2	6	G#
n03op18-3_03	253	159	159	0	0	3/4	1	1	V[I64	D	I	V	I64		I		64				M	False	False	(1, 0, 4)	()	0	1	A
n03op18-3_03	254	160	160	0	0	3/4	1	1	V7]	D	I	V	V7		V		7				Mm7	False	False	(1, 5, 2, -1)	()	1	1	A
n03op18-3_03	255	160	160	1/2	1/2	3/4	1	1	#viio/vi	D	I		#viio/vi		#vii	o			vi		o	False	False	(8, 5, 2)	()	8	8	A#
n03op18-3_03	256	161	161	0	0	3/4	1	1	vi	D	I		vi		vi						m	False	False	(3, 0, 4)	()	3	3	B
