fname		mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	bass_name
n01op18-1_01	167	136	136	1/4	1/4	3/4	1	1	@none	F	ii		@none		@none						m	False	True	()	()			
n01op18-1_01	168	137	137	0	0	3/4	1	1	#viio7	F	ii		#viio7		#vii	o	7				o7	False	True	(5, 2, -1, -4)	()	5	5	F#
n01op18-1_01	169	137	137	1/4	1/4	3/4	1	1	VI6	F	ii		VI6		VI		6				M	False	True	(0, -3, -4)	()	-4	0	G
n01op18-1_01	170	137	137	1/2	1/2	3/4	1	1	V65/ii	F	ii		V65/ii		V		65		ii		Mm7	False	True	(7, 4, 1, 3)	()	3	7	G#
n01op18-1_01	171	138	138	0	0	3/4	1	1	#viio65	F	ii		#viio65		#vii	o	65				o7	False	True	(2, -1, -4, 5)	()	5	2	A
n01op18-1_01	172	138	138	1/2	1/2	3/4	1	1	i6	F	ii		i6		i		6				m	False	True	(-3, 1, 0)	()	0	-3	Bb
n02op18-2_03	59	38	37	0	0	3/4	1	1	I6	G	I		I6		I		6				M	False	False	(4, 1, 0)	()	0	4	B
n02op18-2_03	60	38	37	3/8	3/8	3/4	1	1	I+6	G	I		I+6		I	+	6				+	False	False	(4, 8, 0)	()	0	4	B
n02op18-2_03	61	38	37	1/2	1/2	3/4	1	1	IV	G	I		IV		IV						M	False	False	(-1, 3, 0)	()	-1	-1	C
n02op18-2_03	62	38	37	5/8	5/8	3/4	1	1	V65/V	G	I		V65/V		V		65		V		Mm7	False	False	(6, 3, 0, 2)	()	2	6	C#
n02op18-2_03	63	39	38	0	0	3/4	1	1	V(64)	G	I		V(64)		V			64			M	False	False	(1, 0, 4)	()	1	1	D
n02op18-2_03	64	39	38	1/8	1/8	3/4	1	1	#viio7/vi	G	I		#viio7/vi		#vii	o	7		vi		o7	False	False	(8, 5, 2, -1)	()	8	8	D#
